Property address,CS - NOI,CS - PV size (kW),Building type,Utility,Gross roof area (ft²),Owner name
"700 High St, Hackettstown, NJ 07840","$162,073","3,377","Industrial, Manufacturing",Jersey Central Power & Lt Co,"281,376",
"351 Holt Rd, North Andover, MA 01845","$319,966","3,200","Industrial, Manufacturing",National Grid - Massachusetts,"266,638",Atlantic Management Corp
"515 Fletchwood Rd, Elkton, MD 21921","$508,594","9,247","Industrial, Warehouse",Delmarva Power,"770,597",Realty Income Corporation
"109 Ohio St, Joliet, IL 60432","$156,896","6,276","Industrial, Manufacturing",Commonwealth Edison Co,"522,986",Robert Herold
"180 Hartwell Rd, Bedford, MA 01730","$229,520","2,943","Industrial, Manufacturing",Eversource Energy (Formerly NSTAR Electric Company),"245,214",Ilc Property LLC
"540 Glen Ave, Moorestown, NJ 08057","$244,815","2,498","Industrial, Manufacturing",Public Service Elec & Gas Co,"208,176","One Liberty Properties, Inc."
"380 Cranbury Rd, East Brunswick, NJ 08816","$100,845","2,101","School, Primary",Jersey Central Power & Lt Co,"280,125",East Brunswick Board of Education (inc)
"230 Forest St, Marlborough, MA 01752","$196,226","1,962",Office,National Grid - Massachusetts,"261,635",Atlantic-Marlboro Realty III LLC
"1600 N State Route, Bourbonnais, IL 60914","$125,981","5,039","Retail, Strip Mall",Commonwealth Edison Co,"671,898",Namdar Realty Group LLC
"3030 Waterview Ave, Baltimore, MD 21230","$255,998","3,765","Industrial, Warehouse",Baltimore Gas & Electric Co,"313,723",Continental Realty Corporation
"437 Tower Blvd, Carol Stream, IL 60188","$156,740","6,270","Industrial, Manufacturing",Commonwealth Edison Co,"522,468",Corportion of The Prsding Bshp
"100 Behmer Rd, Piscataway, NJ 08854","$257,917","2,632","School, Primary",Public Service Elec & Gas Co,"350,908",Township of Union
"1002 Wayne Ave, Chambersburg, PA 17202",—,—,"Industrial, Manufacturing",West Penn Power Co,"402,581",Baywatch Fisheries
"50 Meister Ave, Branchburg, NJ 08876","$169,326","3,528","Industrial, Manufacturing",Jersey Central Power & Lt Co,"293,969",50 Meister Holding LLC
"8201 Stayton Dr, Jessup, MD 20794","$160,502","2,360","Industrial, Warehouse",Baltimore Gas & Electric Co,"196,694","8201 Associates, LLC"
"62 Quarry Rd, Downingtown, PA 19335","$65,690","4,106","Retail, Strip Mall",PECO Energy Co,"547,416","BRANDYWINE SQUARE, LP"
"600 S Hicks Rd, Rolling Meadows, IL 60008","$154,212","6,168","Industrial, Manufacturing",Commonwealth Edison Co,"514,039",Northrop Grumman Intl Trdg
"11614 S Austin Ave, Alsip, IL 60803","$150,731","6,029","Industrial, Manufacturing",Commonwealth Edison Co,"502,438","Cabot Industrial Core Fund II Operating Partnership, L.P."
"895 Boston Post Rd E, Marlborough, MA 01752","$312,274","3,123","Industrial, Manufacturing",National Grid - Massachusetts,"260,229",Raytheon
"999 S Grand St, Hammonton, NJ 08037","$358,682","3,776","Industrial, Manufacturing",Atlantic City Electric Co,"314,633",Hammonton Complex LLC
"1500 Almonesson Rd, Woodbury, NJ 08096","$262,122","2,759","Retail, Strip Mall",Atlantic City Electric Co,"367,890",Dlc Management Corporation
"6225 E Minooka Rd, Minooka, IL 60447","$155,531","6,221","Industrial, Manufacturing",Commonwealth Edison Co,"518,437",Lxp Industrial Trust
"501 Advantage Ave, Aberdeen, MD 21001","$252,517","3,713","Industrial, Warehouse",Baltimore Gas & Electric Co,"309,457",1415 Perryman Road LLC
"750 Oak Hill Rd, Mountain Top, PA 18707","$108,150","5,408","Industrial, Manufacturing",PPL Electric Utilities Corp,"450,626",Svc Manufacturing Inc
"1050 Westminster St, Westminster, MA 01473","$197,347","1,973",Office,National Grid - Massachusetts,"263,129",
"97 Lanes Mill Rd, Howell Township, NJ 07731","$110,715","2,307","Retail, Strip Mall",Jersey Central Power & Lt Co,"307,541",Lowe's
"1371 Center Mills Rd, Aspers, PA 17304","$93,959","5,527","Industrial, Manufacturing",Metropolitan Edison Co,"460,584",
"400 Woodbine Ave, Woodbridge Township, NJ 07001","$298,317","3,044","Industrial, Manufacturing",Public Service Elec & Gas Co,"253,671",Ngbw LLC
"1532 S Washington Ave, Piscataway, NJ 08854","$299,318","3,054","Industrial, Manufacturing",Public Service Elec & Gas Co,"254,522",Srour Property LLC
"112 Rues Ln, East Brunswick, NJ 08816","$100,739","2,099","School, Primary",Jersey Central Power & Lt Co,"279,831",Middlesex County Vocational & Technical High Schools (inc)
"1800 S Wolf Rd, Des Plaines, IL 60018","$155,582","6,223","Industrial, Manufacturing",Commonwealth Edison Co,"518,607",La Grou Cold Storage Partnr
"10 Emery St, Bethlehem, PA 18015","$194,352","9,718","Industrial, Warehouse",PPL Electric Utilities Corp,"809,800",Prologis
"9201 W Belmont Ave, Franklin Park, IL 60131","$154,451","6,178","Industrial, Manufacturing",Commonwealth Edison Co,"514,838",Ryan Ingle
"615 Alpha Dr, Pittsburgh, PA 15238","$54,789","3,424","Industrial, Manufacturing",Duquesne Light Co,"285,360",North Lanes
"450 Oak Tree Ave, South Plainfield, NJ 07080","$290,622","2,966","Industrial, Manufacturing",Public Service Elec & Gas Co,"247,127",Jetro Cash & Carry
"81 New England Ave, Piscataway, NJ 08854","$287,885","2,938","Industrial, Manufacturing",Public Service Elec & Gas Co,"244,800",Cosm Cosmair
"281 NJ-10, Roxbury Township, NJ 07876","$119,185","2,483","Retail, Strip Mall",Jersey Central Power & Lt Co,"331,070",Fidelity Properties
"2631 MacArthur Rd, Whitehall Township, PA 18052","$74,360","3,718","Retail, Strip Mall",PPL Electric Utilities Corp,"495,730","Ard Mac Commons, LLC"
"10 Corn Rd, South Brunswick Township, NJ 08810","$295,630","3,017","Industrial, Manufacturing",Public Service Elec & Gas Co,"251,386",Centerpoint Properties Trust
"8 Germak Dr, Carteret, NJ 07008","$381,438","3,892","Industrial, Manufacturing",Public Service Elec & Gas Co,"324,352","A. J. Richard & Sons, Inc."
"500 Green St, Woodbridge Township, NJ 07095","$280,549","2,863","Industrial, Manufacturing",Public Service Elec & Gas Co,"238,562",374 Green Street LLC
"2991 Cranberry Hwy, Wareham, MA 02538","$167,145","2,143","Retail, Strip Mall",Eversource Energy (Formerly NSTAR Electric Company),"285,718",Amy Harris
"300 Mac Ln, Woodbridge Township, NJ 08832","$298,231","3,043","Industrial, Manufacturing",Public Service Elec & Gas Co,"253,598",Raritan Center Bussiness Park
"480 Sprague St, Dedham, MA 02026","$223,230","2,862","Industrial, Manufacturing",Eversource Energy (Formerly NSTAR Electric Company),"238,494",Aew Real Estate Advisors
"1501 Perryman Rd, Aberdeen, MD 21001","$474,091","6,972","Industrial, Warehouse",Baltimore Gas & Electric Co,"580,994",Prologis
"1657 S Highland Ave, Baltimore, MD 21224","$255,255","3,754","Industrial, Warehouse",Baltimore Gas & Electric Co,"312,813",South Highland Avenue LLC
"203 Yorktown Shopping Center, Lombard, IL 60148","$123,137","4,925","Retail, Strip Mall",Commonwealth Edison Co,"656,731",Reserve At Yorktown LLC
"1500 Broening Hwy, Baltimore, MD 21224","$218,635","3,215","Industrial, Warehouse",Baltimore Gas & Electric Co,"267,935",Duke Realty
"684 21st Ave, Paterson, NJ 07513","$268,823","2,743","Industrial, Manufacturing",Public Service Elec & Gas Co,"228,591",THE OKONITE COMPANY
"4100 Rock Creek Blvd, Joliet, IL 60431","$151,610","6,064","Industrial, Manufacturing",Commonwealth Edison Co,"505,366","First Industrial Realty Trust, Inc."
"360 Independence Ave, Mechanicsburg, PA 17055","$199,250","9,963","Industrial, Warehouse",PPL Electric Utilities Corp,"830,210",
"200 Industrial Ave, Teterboro, NJ 07608","$247,328","2,524",Office,Public Service Elec & Gas Co,"336,501",US Post Office
"609 Kirk Rd, St. Charles, IL 60174","$151,803","6,072","Industrial, Manufacturing",Commonwealth Edison Co,"506,010",Roy Splansky
"744 NJ-70, Brick Township, NJ 08723","$106,354","2,216","Retail, Strip Mall",Jersey Central Power & Lt Co,"295,427",BRICKTOWN VF L.L.C.
"1 Furniture Way, Swansea, MA 02777","$224,223","2,242","Retail, Standalone",National Grid - Massachusetts,"298,964",Cardis Furniture & Mattresses
"836 North St, Tewksbury, MA 01876","$318,863","3,189","Industrial, Manufacturing",National Grid - Massachusetts,"265,719","Rubenstein Partners, L.P."
"151 Bata Blvd, Belcamp, MD 21017","$234,766","3,452","Industrial, Warehouse",Baltimore Gas & Electric Co,"287,703",Timothy Weber
"755 US-202, Raritan, NJ 08869","$310,364","3,167","Industrial, Manufacturing",Public Service Elec & Gas Co,"263,915",Fisher Fair Lawn
"8999 Palmer St, River Grove, IL 60171","$152,106","6,084","Industrial, Manufacturing",Commonwealth Edison Co,"507,020",Partners Group (usa) Inc.
