Property address,CS - NOI,CS - PV size (kW),Building type,Utility,Gross roof area (ft²),Owner name
"4 Centerton Rd, Mount Laurel Township, NJ 08054","$221,167","2,257","Retail, Strip Mall",Public Service Elec & Gas Co,"300,907",Target
"1800 W Lake Shore Dr, Woodstock, IL 60098","$115,315","4,613","Industrial, Manufacturing",Commonwealth Edison Co,"384,383",Dura Bar Division
"300 Hunter Ln, Middletown, PA 17057","$77,453","3,873","Industrial, Manufacturing",PPL Electric Utilities Corp,"322,722",Blackstone
"1 Whitney Dr, Harmony, PA 16037",—,—,"Industrial, Manufacturing",West Penn Power Co,"338,300",Sysco
"333 South St, Shrewsbury, MA 01545",—,—,"Industrial, Manufacturing",Shrewsbury Electric & Cable Operations,"239,801",
"7561 Industrial Blvd, Allentown, PA 18106","$80,215","4,011","Industrial, Manufacturing",PPL Electric Utilities Corp,"334,229","Industrial Blvd, LP"
"500 N Osborne Ln, Aberdeen, MD 21001","$125,226","1,842","Industrial, Warehouse",Baltimore Gas & Electric Co,"153,463","First Industrial Realty Trust, Inc."
"651 Boulder Dr, Breinigsville, PA 18031","$122,887","6,144","Industrial, Warehouse",PPL Electric Utilities Corp,"512,030",Prologis
"6950 Aviation Blvd, Glen Burnie, MD 21061","$193,855","2,851","Industrial, Warehouse",Baltimore Gas & Electric Co,"237,567","RC Maryland, LLC"
"315 US-206, Hillsborough Township, NJ 08844","$86,902","1,810","Retail, Strip Mall",Jersey Central Power & Lt Co,"241,395",Lowe's
"401 S 3rd St, Millville, NJ 08332","$284,324","2,993","Industrial, Manufacturing",Atlantic City Electric Co,"249,407",Pmh Transmission
"83 Commerce Way, Woburn, MA 01801","$448,164","5,746","Industrial, Warehouse",Eversource Energy (Formerly NSTAR Electric Company),"478,808",83 COMMERCE WAY LLC
"754 NJ-35, Middletown Township, NJ 07748","$87,267","1,818","Retail, Strip Mall",Jersey Central Power & Lt Co,"242,408",Frank Bernstein
"125 N Hope Chapel Rd, Jackson Township, NJ 08527","$104,384","2,175","School, Primary",Jersey Central Power & Lt Co,"289,956",
"215 S Burlington Rd, Bridgeton, NJ 08302","$175,693","1,849",Office,Atlantic City Electric Co,"246,586",State of New Jersey
"1301 Railroad Ave, Midland, PA 15059","$41,153","2,572","Industrial, Manufacturing",Duquesne Light Co,"214,339",Baton Rouge Southern Railroad
"560 Walnut Bottom Rd, Shippensburg, PA 17257","$79,275","3,964","Industrial, Manufacturing",PPL Electric Utilities Corp,"330,314",
"91 First Ave, Covington Township, PA 18424","$82,412","4,121","Industrial, Manufacturing",PPL Electric Utilities Corp,"343,382","Americold Realty Trust, Inc."
"2279 Center Square Rd, Logan Township, NJ 08085","$283,250","2,982","Industrial, Manufacturing",Atlantic City Electric Co,"248,465",Prologis
"8900 W 50th St, McCook, IL 60525","$115,040","4,602","Industrial, Manufacturing",Commonwealth Edison Co,"383,465",
"2600 Brodhead Rd, Bethlehem, PA 18020","$125,767","6,288","Industrial, Warehouse",PPL Electric Utilities Corp,"524,031",Prologis
"555 St James Gate, Bolingbrook, IL 60440","$118,702","4,748","Industrial, Manufacturing",Commonwealth Edison Co,"395,672",Tlp 555 Saint James Gate LLC
"240 N Prospect St, Marengo, IL 60152","$116,756","4,670","Industrial, Manufacturing",Commonwealth Edison Co,"389,185",Unicarriers Forklift
"74 Demarest Dr, Wayne, NJ 07470","$115,963","2,416","Industrial, Manufacturing",Jersey Central Power & Lt Co,"201,325","Crp/Sg Edison Industrial Owner, L.L.C."
"20 Jaycee Dr, West Hazleton, PA 18202","$81,608","4,080","Industrial, Manufacturing",PPL Electric Utilities Corp,"340,035",Humboldt Industrial Supply Corporation
"336 Heinz St, Mechanicsburg, PA 17055","$78,968","3,948","Industrial, Manufacturing",PPL Electric Utilities Corp,"329,032","Hager Pacific Properties, LLC"
"4803 Hollins Ferry Rd, Halethorpe, MD 21227","$237,282","3,489","Industrial, Warehouse",Baltimore Gas & Electric Co,"290,787",
"515 Kehoe Blvd, Carol Stream, IL 60188","$118,561","4,742","Industrial, Manufacturing",Commonwealth Edison Co,"395,204",Prologis
"45 Logistics Dr, Carlisle, PA 17013","$136,597","6,830","Industrial, Warehouse",PPL Electric Utilities Corp,"569,152",Hillwood Investment Properties
"8340 Ardwick Ardmore Rd, Hyattsville, MD 20785","$196,571","2,891","Industrial, Warehouse",Baltimore Gas & Electric Co,"240,896",Prince George's County
"228 Raseley St, Berwick, PA 18603","$82,185","4,109","Industrial, Manufacturing",PPL Electric Utilities Corp,"342,438","Wise Foods, Inc."
"561 Clayton Rd, Monroe, NJ 08094","$179,378","1,888","School, Primary",Atlantic City Electric Co,"251,758",Oak Tree Pta
"1400 E Lackawanna Ave, Olyphant, PA 18447","$83,644","4,182","Industrial, Manufacturing",PPL Electric Utilities Corp,"348,515",Giorgio Foods
"505 Advantage Ave, Perryman, MD 21130","$207,007","3,044","Industrial, Warehouse",Baltimore Gas & Electric Co,"253,685",505 Advantage Way LLC
"2445 Springfield Ave, Union, NJ 07088","$86,577","1,804","Retail, Strip Mall",Jersey Central Power & Lt Co,"240,492","Tri-Block Associates, L.P."
"1350 Arthur Ave, Elk Grove Village, IL 60007","$113,676","4,547","Industrial, Manufacturing",Commonwealth Edison Co,"378,921",Prologis
"32599 N Wilson Rd, Round Lake, IL 60073","$125,830","5,033","Industrial, Manufacturing",Commonwealth Edison Co,"419,434",Baxter World Trade Corporation
"75 Reed Rd, Hudson, MA 01749",—,—,"Industrial, Manufacturing",Hudson Light & Power Department,"458,209",Intel
"77 Willowbrook Blvd, Wayne, NJ 07470","$88,385","1,841","Retail, Strip Mall",Jersey Central Power & Lt Co,"245,514",Kimco
"1501 Remington Blvd, Bolingbrook, IL 60490","$114,038","4,562","Industrial, Manufacturing",Commonwealth Edison Co,"380,125",Eqt Exeter
"1640 Internationale Pkwy, Woodridge, IL 60517","$115,388","4,616","Industrial, Manufacturing",Commonwealth Edison Co,"384,625",Robert Lubeck
"2460 Brodhead Rd, Bethlehem, PA 18020","$124,025","6,201","Industrial, Warehouse",PPL Electric Utilities Corp,"516,772",Ares
"2924 E 126th Pl, Chicago, IL 60633","$115,930","4,637","Industrial, Manufacturing",Commonwealth Edison Co,"386,433",Northpoint Development
"21 Wilbraham St, Palmer, MA 01069","$463,468","4,635","Industrial, Warehouse",National Grid - Massachusetts,"386,224",
"7529 Morris Ct, Allentown, PA 18106","$77,610","3,881","Industrial, Manufacturing",PPL Electric Utilities Corp,"323,376",Blackstone
"6767 W 75th St, Chicago, IL 60638","$111,895","4,476","Industrial, Manufacturing",Commonwealth Edison Co,"372,984",Fedex
"2211 Lakeside Blvd, Edgewood, MD 21040","$200,924","2,955","Industrial, Warehouse",Baltimore Gas & Electric Co,"246,230","Sugar Land Industrial Properties, LLC"
"3499 S Chicago St, Joliet, IL 60436","$115,214","4,609","Industrial, Manufacturing",Commonwealth Edison Co,"384,048",
"10100 Baltimore Ave, College Park, MD 20740","$124,223","1,941","Retail, Standalone",Potomac Electric Power Co,"258,797",I K E A
"81 Belvidere Rd, Perryville, MD 21903","$460,984","8,382","Industrial, Warehouse",Delmarva Power,"698,460",Lidl Spotsylvania Co
"9340 S Kostner Ave, Oak Lawn, IL 60453","$93,753","3,750","Retail, Strip Mall",Commonwealth Edison Co,"500,017","A3 HEALTH, INC."
"10320 Werch Dr, Woodridge, IL 60517","$117,425","4,697","Industrial, Manufacturing",Commonwealth Edison Co,"391,418",Prologis
"1260 E Woodland Ave, Springfield, PA 19064","$61,443","3,840","Industrial, Manufacturing",PECO Energy Co,"320,014",COMMONWEALTH REAL ESTATE
"191 Grand Ave, Clarion, PA 16214",—,—,"Industrial, Manufacturing",West Penn Power Co,"330,169",Clarion Laminates LLC
"3 Gateway Blvd, Oldmans Township, NJ 08067","$272,266","2,866","Industrial, Manufacturing",Atlantic City Electric Co,"238,830","Americold Realty Trust, Inc."
"1000 Westinghouse Dr, New Stanton, PA 15672",—,—,"Industrial, Manufacturing",West Penn Power Co,"315,144",Richard Erenberg
"2600 S 25th Ave, Broadview, IL 60155","$110,393","4,416","Industrial, Manufacturing",Commonwealth Edison Co,"367,977",Cre South 25th Member LLC
"2351 Century Dr, West Mifflin, PA 15122","$28,921","1,808","Retail, Strip Mall",Duquesne Light Co,"241,007",WAL-MART REAL ESTATE BUSINESS TRUST
"1400 Distribution Dr, Carlisle, PA 17013","$130,773","6,539","Industrial, Warehouse",PPL Electric Utilities Corp,"544,886",Prologis
"15 Pleasant View Dr, Mechanicsburg, PA 17050","$76,567","3,828","Industrial, Manufacturing",PPL Electric Utilities Corp,"319,031","Fry Communications, Inc."
"1100 Corporate Dr, McHenry, IL 60050","$112,493","4,500","Industrial, Manufacturing",Commonwealth Edison Co,"374,975",W.P. Carey
"5500 Spectrum Dr, Frederick, MD 21703","$195,529","6,518","Retail, Standalone",The Potomac Edison Co,"869,019",Nittany Mall
"999 Bilter Rd, Aurora, IL 60502","$115,240","4,610","Industrial, Manufacturing",Commonwealth Edison Co,"384,132",Prologis
"5600 W 73rd St, Bedford Park, IL 60638","$111,038","4,442","Industrial, Manufacturing",Commonwealth Edison Co,"370,128",
"6220 W 73rd St, Bedford Park, IL 60638","$111,237","4,449","Industrial, Manufacturing",Commonwealth Edison Co,"370,789",Blackstone
"4650 Shepherd Trail, Rockford, IL 61103","$113,121","4,525","Industrial, Manufacturing",Commonwealth Edison Co,"377,070",David Marks
"DYER LANE MALL, WILKES BARRE, PA 18701","$50,324","2,516",Office,PPL Electric Utilities Corp,"335,494",Nabil Abualburak
"776 S Eagle Valley Rd, Bellefonte, PA 16823",—,—,Office,West Penn Power Co,"320,488",Wingate Elementary School
"700 Kimberly Dr, Carol Stream, IL 60188","$110,336","4,413","Industrial, Manufacturing",Commonwealth Edison Co,"367,785",Carol Cbp Stream LLC
"1030 US-9, Old Bridge, NJ 08859","$84,337","1,757","Retail, Strip Mall",Jersey Central Power & Lt Co,"234,270",Bpg
"100 E Lancaster Ave, Penn Wynne, PA 19096","$35,054","2,191",Hospital,PECO Energy Co,"292,120",NEMOURS
"10220 Werch Dr, Woodridge, IL 60517","$116,005","4,640","Industrial, Manufacturing",Commonwealth Edison Co,"386,684",Prologis
"2200 Busse Rd, Elk Grove Village, IL 60007","$88,289","3,532","Retail, Strip Mall",Commonwealth Edison Co,"470,876",Matthew Mercier
"1600 Sequoia Dr, Aurora, IL 60506","$113,626","4,545","Industrial, Manufacturing",Commonwealth Edison Co,"378,755",Jll
"3347-51 Stokley St, Philadelphia, PA 19140","$58,313","3,645","Industrial, Manufacturing",PECO Energy Co,"303,715",Montenick Real Estate LLC
"101 Wildlife Lodge Rd, Lower Burrell, PA 15068","$28,640","1,790","Retail, Strip Mall",Duquesne Light Co,"238,664",
"225 S Highland Ave, Aurora, IL 60506","$112,159","4,486","Industrial, Manufacturing",Commonwealth Edison Co,"373,863",Shetland Properties
"2000 Ogden Ave, Aurora, IL 60504","$68,586","2,743",Office,Commonwealth Edison Co,"365,792","Copley Memorial Hospital, Inc."
"1 PRESTON AVE, NEW CASTLE, PA 16102",—,—,Office,Pennsylvania Power Co - FirstEnergy,"242,259",Ql Corporation
"14301 Mattawoman Dr, Brandywine, MD 20613","$295,974","4,625","Industrial, Warehouse",Potomac Electric Power Co,"385,383",Blackstone
"2540 W 18th St, Chicago, IL 60608","$108,496","4,340","Industrial, Manufacturing",Commonwealth Edison Co,"361,653",Yaman Shukairy
"7950 Oceano Ave, Jessup, MD 20794","$203,946","2,999","Industrial, Warehouse",Baltimore Gas & Electric Co,"249,934",Merchants Terminal Corporation
"7248 Industrial Blvd, Allentown, PA 18106","$118,759","5,938","Industrial, Warehouse",PPL Electric Utilities Corp,"494,829",Prologis Management
"1 Llodio Rd, Hermitage, PA 16148",—,—,"Industrial, Manufacturing",Pennsylvania Power Co - FirstEnergy,"241,868",
"207 Pitney Rd, Lancaster, PA 17601","$71,580","3,579","Industrial, Manufacturing",PPL Electric Utilities Corp,"298,252",Imperial Proc Corp Lunenburg
"2385 Bernville Rd, Reading, PA 19605","$45,153","2,656",Office,Metropolitan Edison Co,"354,139",Reading Regional Airport Authority
"5750 W 118th St, Alsip, IL 60803","$109,096","4,364","Industrial, Manufacturing",Commonwealth Edison Co,"363,653",Tlp 5750 118th LLC
"2700 Saucon Valley Rd, Upper Saucon Township, PA 18034","$116,427","5,821","Industrial, Warehouse",PPL Electric Utilities Corp,"485,111",Lone Star Fund V (us) L.P.
"25212 IL-120, Round Lake, IL 60073","$125,830","5,033","Industrial, Manufacturing",Commonwealth Edison Co,"419,434",Baxter World Trade Corporation
"1600 W Central Ave, Hanover Park, IL 60133","$109,012","4,360","Industrial, Manufacturing",Commonwealth Edison Co,"363,372",Prologis
", PARAMUS, NJ 07652","$186,890","1,907",Office,Public Service Elec & Gas Co,"254,272","Bergen, County of"
"1700 S Wolf Rd, Des Plaines, IL 60018","$151,188","6,048","Industrial, Manufacturing",Commonwealth Edison Co,"503,959","Lincoln Road Enterprises, LLC"
"543 Frontenac Ct, Naperville, IL 60563","$110,120","4,405","Industrial, Manufacturing",Commonwealth Edison Co,"367,066",
"9401 Gaither Rd, Gaithersburg, MD 20877","$269,098","4,205","Industrial, Warehouse",Potomac Electric Power Co,"350,388",UPS
"720 Center Ave, Carol Stream, IL 60188","$108,328","4,333","Industrial, Manufacturing",Commonwealth Edison Co,"361,094",Duke Realty
"3501 Mt Prospect Rd, Franklin Park, IL 60131","$108,352","4,334","Industrial, Manufacturing",Commonwealth Edison Co,"361,174",Aew Real Estate Advisors
"1833 W Ferry Rd, Naperville, IL 60563","$216,625","8,665","Industrial, Warehouse",Commonwealth Edison Co,"722,083",Terence Dedeaux
"191 E North Ave., Carol Stream, IL 60188","$106,372","4,255","Industrial, Manufacturing",Commonwealth Edison Co,"354,572",Prologis
"132 White Oak Rd, New Holland, PA 17557","$71,594","3,580","Industrial, Manufacturing",PPL Electric Utilities Corp,"298,308",Berk-Tek
"1500 Forest Glen Rd, Silver Spring, MD 20910","$96,475","1,507",Hospital,Potomac Electric Power Co,"200,990",Bryant Fougler
"200 Walsh Dr, Parsippany-Troy Hills, NJ 07054","$110,286","2,298","Industrial, Manufacturing",Jersey Central Power & Lt Co,"191,469","MONASTIR PROPERTIES II, L.P."
"219 Memorial Ave, West Springfield, MA 01089","$110,883","1,912","Retail, Strip Mall",Eversource Energy (Formerly Western Massachusetts Elec Co),"254,904","Cohen, Andrew"
"98 Raider Rd, North Brunswick Township, NJ 08902","$200,221","2,043","School, Primary",Public Service Elec & Gas Co,"272,409",Board of Education
"9701 E Roosevelt Blvd, Philadelphia, PA 19115","$43,467","2,717","Retail, Strip Mall",PECO Energy Co,"362,225",Kenneth Goldenberg
"8601 47th St, McCook, IL 60525","$109,194","4,368","Industrial, Manufacturing",Commonwealth Edison Co,"363,979",Heitman LLC
"2 Liz Way, Mount Pocono, PA 18344","$122,396","6,120","Industrial, Warehouse",PPL Electric Utilities Corp,"509,983",Ksg Coolbaughtwp LLC
"100 Mill Bridge Rd, Leechburg, PA 15656",—,—,"Industrial, Manufacturing",West Penn Power Co,"313,279","West Leechburg Holdings, LLC"
"2179 S Queen St, York, PA 17402","$42,211","2,483","School, Primary",Metropolitan Edison Co,"331,066",County of York
"13144 S Pulaski Rd, Alsip, IL 60803","$111,895","4,476","Industrial, Manufacturing",Commonwealth Edison Co,"372,982",David Levine
"553 Ave A, Leetsdale, PA 15056","$69,891","4,368","Industrial, Warehouse",Duquesne Light Co,"364,018",Buncher Company
"1001 Knell Rd, Montgomery, IL 60538","$106,206","4,248","Industrial, Manufacturing",Commonwealth Edison Co,"354,020",Ip Eat Three LLC
"7533 Industrial Park Way, Macungie, PA 18062","$131,347","6,567","Industrial, Warehouse",PPL Electric Utilities Corp,"547,279",Prologis
"1700 Cloister Dr, Lancaster, PA 17601","$71,110","3,555","Industrial, Manufacturing",PPL Electric Utilities Corp,"296,291","Hager Pacific Properties, LLC"
"1775 S Braddock Ave, Pittsburgh, PA 15218","$28,444","1,778","Retail, Strip Mall",Duquesne Light Co,"237,030",Edgewood Station LLC
"631 W Park Ave, Aurora, IL 60506","$106,405","4,256","Industrial, Manufacturing",Commonwealth Edison Co,"354,684",Transbulk Real Estate Limited Partnership
"9931 Mountain View Dr, West Mifflin, PA 15122","$27,909","1,744","Retail, Strip Mall",Duquesne Light Co,"232,571",LMS Commercial Real Estate
"2320 S Walnut Rd, Freeport, IL 61032","$104,187","4,167","Industrial, Manufacturing",Commonwealth Edison Co,"347,289",Honeywell Safety Products
"90 Grovers Mill Rd, Plainsboro Township, NJ 08536","$186,482","1,903","School, Primary",Public Service Elec & Gas Co,"253,717",West Windsor Plainsboro High School North Ptsa
"217 Aquapenn Dr, Howard, PA 16841","$78,427","3,921","Industrial, Manufacturing",PPL Electric Utilities Corp,"326,780",
"400 Running Pump Rd, Lancaster, PA 17603","$70,164","3,508","Industrial, Manufacturing",PPL Electric Utilities Corp,"292,350",Hershey
"2340 Newburg Rd, Belvidere, IL 61008","$106,231","4,249","Industrial, Manufacturing",Commonwealth Edison Co,"354,102",W.P. Carey
"485 St Johns Church Rd, Camp Hill, PA 17011","$122,395","6,120","Industrial, Warehouse",PPL Electric Utilities Corp,"509,981","Black Creek Group, LLC"
"119 Aid Dr, Darlington, PA 16115","$62,157","3,885","Industrial, Warehouse",Duquesne Light Co,"323,733","Danzer Veneer Americas, Inc."
"2000 Elmwood Ave, Sharon Hill, PA 19079","$56,536","3,534","Industrial, Manufacturing",PECO Energy Co,"294,460",Andrew Albstein
"10 Cooper Folly Rd, Winslow Township, NJ 08004","$169,203","1,781","School, Primary",Atlantic City Electric Co,"237,478",Winslow Schools
"4513 Western Ave, Lisle, IL 60532","$108,764","4,351","Industrial, Manufacturing",Commonwealth Edison Co,"362,548",Coke Steve
"9801 Blue Grass Rd, Philadelphia, PA 19114","$54,621","3,414","Industrial, Manufacturing",PECO Energy Co,"284,485",Roger Morale
"2212 W 47th St, Chicago, IL 60609","$105,674","4,227","Industrial, Manufacturing",Commonwealth Edison Co,"352,248",Sabrina Khabie
"30 Terminal Ave, Clark, NJ 07066","$179,723","1,834","Industrial, Manufacturing",Public Service Elec & Gas Co,"152,826","L'Oreal USA S/D, Inc."
"500 Green St, Washington, PA 15301",—,—,"Industrial, Manufacturing",West Penn Power Co,"305,189",
"312 Volvo Way, Shippensburg, PA 17257","$71,599","3,580","Industrial, Manufacturing",PPL Electric Utilities Corp,"298,329",Volvo Road Machinery
"8201 47th St, McCook, IL 60525","$124,930","4,997","Industrial, Manufacturing",Commonwealth Edison Co,"416,433",American Realty Advisors
"143 Fiberboard Rd, Shippenville, PA 16254",—,—,"Industrial, Manufacturing",West Penn Power Co,"311,859",
"661 Kenyon Ave, Bridgeton, NJ 08302","$246,429","2,594","Industrial, Manufacturing",Atlantic City Electric Co,"216,166","JG Real Estate, Inc"
"200 Milik St, Carteret, NJ 07008","$171,930","1,754",Office,Public Service Elec & Gas Co,"233,918",Tiaa
"7777 Winn Rd, Spring Grove, IL 60081","$105,460","4,218","Industrial, Manufacturing",Commonwealth Edison Co,"351,534",SPRING GROVE HOLDINGS LLC
"346 Clarksville Rd, West Windsor Township, NJ 08550","$84,115","1,752","School, Primary",Jersey Central Power & Lt Co,"233,654",West Wndsr-Plnsboro High Schl
"305 W Crossroads Pkwy, Bolingbrook, IL 60440","$109,038","4,362","Industrial, Manufacturing",Commonwealth Edison Co,"363,459",G & W Electric Company
"200 Boulder Dr, Breinigsville, PA 18031","$119,187","5,959","Industrial, Warehouse",PPL Electric Utilities Corp,"496,614",Prologis
"715 Fountain Ave, Lancaster, PA 17601","$68,884","3,444","Industrial, Manufacturing",PPL Electric Utilities Corp,"287,016",Ecore International
"2176 Diehl Rd, Aurora, IL 60502","$109,258","4,370","Industrial, Manufacturing",Commonwealth Edison Co,"364,192",Prologis
"13100 S Pulaski Rd, Alsip, IL 60803","$108,701","4,348","Industrial, Manufacturing",Commonwealth Edison Co,"362,338",Plymouth Reit
"230 Lies Rd E, Carol Stream, IL 60188","$104,635","4,185","Industrial, Manufacturing",Commonwealth Edison Co,"348,782","Cabot Properties, Inc."
"1705 Sequoia Dr, Aurora, IL 60506","$104,684","4,187","Industrial, Manufacturing",Commonwealth Edison Co,"348,946","Cabot Properties, Inc."
"500 E 12th St, Bloomsburg, PA 17815","$75,976","3,799","Industrial, Manufacturing",PPL Electric Utilities Corp,"316,565","Kawneer Company, Inc."
"850 Veterans Pkwy, Bolingbrook, IL 60440","$106,915","4,277","Industrial, Manufacturing",Commonwealth Edison Co,"356,383",Prologis
"601 E Lake St, Streamwood, IL 60107","$103,908","4,156","Industrial, Manufacturing",Commonwealth Edison Co,"346,359","Ace Coffee Bar, Inc."
"106 Lonczak St, Chicopee, MA 01022",—,—,"Industrial, Manufacturing",Chicopee City of,"231,229",U.S.T.H.
"355 Kindig Rd, Littlestown, PA 17340","$94,245","5,544","Industrial, Warehouse",Metropolitan Edison Co,"461,987",Utz
"2601 Internationale Pkwy, Lemont, IL 60439","$107,431","4,297","Industrial, Manufacturing",Commonwealth Edison Co,"358,102",Jpmorganchase
"190 E Elk Trail, Carol Stream, IL 60188","$104,137","4,165","Industrial, Manufacturing",Commonwealth Edison Co,"347,122",Prologis
"2649 Internationale Pkwy, Woodridge, IL 60517","$107,403","4,296","Industrial, Manufacturing",Commonwealth Edison Co,"358,010",Catellus Development Corporation
"2090 Lincoln Hwy E, Lancaster, PA 17602","$49,305","2,465","Retail, Strip Mall",PPL Electric Utilities Corp,"328,699",Donald Cafiero
"800 John Quincy Adams Rd, Taunton, MA 02780","$250,459","2,505","Industrial, Warehouse",National Grid - Massachusetts,"208,716","Stag Industrial, Inc."
"6633 N Ridge Blvd, Chicago, IL 60626","$105,600","4,224","Industrial, Manufacturing",Commonwealth Edison Co,"351,999",S & C Electric Company
"5675 Rising Sun Ave, Philadelphia, PA 19120","$18,374","1,148","Restaurant, Full Service ",PECO Energy Co,"153,114",
"2801 E Township Line Rd, Hatfield, PA 19440","$59,203","3,700","Industrial, Manufacturing",PECO Energy Co,"308,350",Hayden Maguire Realty
"901 Sathers Dr, Pittston, PA 18640","$75,602","3,780","Industrial, Manufacturing",PPL Electric Utilities Corp,"315,007",George Altirs
"710 Theodore Ct, Romeoville, IL 60446","$106,566","4,263","Industrial, Manufacturing",Commonwealth Edison Co,"355,221",Prologis
"10500 Seymour Ave, Franklin Park, IL 60131","$107,120","4,285","Industrial, Manufacturing",Commonwealth Edison Co,"357,067",Sloan Valve Co Fkp
"15641 Lathrop Ave, Harvey, IL 60426","$101,875","4,075","Industrial, Manufacturing",Commonwealth Edison Co,"339,583",TOPEKA METAL
"605 W Crossroads Pkwy, Bolingbrook, IL 60440","$106,602","4,264","Industrial, Manufacturing",Commonwealth Edison Co,"355,341",Duke Realty
"1145 Donner Ave, Monessen, PA 15062",—,—,"Industrial, Manufacturing",West Penn Power Co,"296,872",Sims Alumisource
"255 Lafayette Ave, Chatham Township, NJ 07928","$202,071","2,062","School, Primary",Public Service Elec & Gas Co,"274,926",CITY HALL
"7700 W 71st St, Bridgeview, IL 60455","$99,946","3,998","Industrial, Manufacturing",Commonwealth Edison Co,"333,154",Village of Bridgeview
"12228 New Ave, Lemont, IL 60439","$105,017","4,201","Industrial, Manufacturing",Commonwealth Edison Co,"350,057",Michael Wetterich
"2065 George St, Melrose Park, IL 60160","$105,891","4,236","Industrial, Manufacturing",Commonwealth Edison Co,"352,969",Barrett Lachance
"5100 Harding Hwy, Hamilton, NJ 08330","$247,849","2,609","Industrial, Manufacturing",Atlantic City Electric Co,"217,411","Atlantic Southern Properties, Inc"
"700 N Tuckahoe Rd, Monroe, NJ 08094","$183,784","1,935","School, Primary",Atlantic City Electric Co,"257,942",Monroe Township Board of Education
"1957 Prairie Rd, Ashton, IL 61006","$99,189","3,968","Industrial, Manufacturing",Commonwealth Edison Co,"330,631","Karlin Distribution, L.L.C."
"2880 Black Bridge Rd, York, PA 17406","$66,991","3,350","Industrial, Manufacturing",PPL Electric Utilities Corp,"279,131",Aj Distribution Inc
"185 OFF RTE 891 DR S, LATROBE, PA 15650",—,—,"Industrial, Manufacturing",West Penn Power Co,"303,638","GUTCHESS HARDWOODS, INC."
"2400 Galvin Dr, Elgin, IL 60123","$103,298","4,132","Industrial, Manufacturing",Commonwealth Edison Co,"344,326",NP Nwcp 2400-2416 Galvin LLC
"9710 S Western Ave, Evergreen Park, IL 60805","$95,641","3,826","Retail, Strip Mall",Commonwealth Edison Co,"510,085",Lbx Evergreen Th LLC
"14746 S Gougar Rd, Lockport, IL 60491","$108,417","4,337","Industrial, Manufacturing",Commonwealth Edison Co,"361,390",Mlrp Lockport 8 LLC
"420 Salem Church Rd, Mechanicsburg, PA 17050","$122,255","6,113","Industrial, Warehouse",PPL Electric Utilities Corp,"509,396",Harrison Cre Associates LLC
"10701 Seymour Ave, Franklin Park, IL 60131","$100,990","4,040","Industrial, Manufacturing",Commonwealth Edison Co,"336,632",Rebecca Levitan
"1357 E Rodney French Blvd, New Bedford, MA 02744","$154,528","1,981","Industrial, Manufacturing",Eversource Energy (Formerly NSTAR Electric Company),"165,094",Milbrun Realty LLC
"1900 Deptford Center Rd, Woodbury, NJ 08096","$177,663","1,870","Retail, Strip Mall",Atlantic City Electric Co,"249,352",Skyline Farms
"500-640 Macungie Ave, Emmaus, PA 18049","$44,317","2,216","School, Primary",PPL Electric Utilities Corp,"295,449",Emmaus High School
"1500 N Caron Rd, Rochelle, IL 61068","$100,723","4,029","Industrial, Manufacturing",Commonwealth Edison Co,"335,744","1600 Ritchie Court, LLC"
"2501 Galvin Dr, Elgin, IL 60124","$102,029","4,081","Industrial, Manufacturing",Commonwealth Edison Co,"340,098",Globe Corporation
"1995 McKesson St, Aurora, IL 60502","$105,512","4,220","Industrial, Manufacturing",Commonwealth Edison Co,"351,707",McKesson
"6525 Muirfield Dr, Hanover Park, IL 60133","$106,654","4,266","Industrial, Manufacturing",Commonwealth Edison Co,"355,513",Prologis
"9801 Adam Don Pkwy, Woodridge, IL 60517","$102,996","4,120","Industrial, Manufacturing",Commonwealth Edison Co,"343,321",
"939 Beards Hill Rd, Aberdeen, MD 21001","$68,718","1,011","Retail, Strip Mall",Baltimore Gas & Electric Co,"134,742","Thomas Park Management, LLC"
"6725 Black Horse Pike, Egg Harbor Township, NJ 08234","$170,463","1,794","Retail, Strip Mall",Atlantic City Electric Co,"239,246",State of New Jersey
"916 S Arcade Ave, Freeport, IL 61032","$98,790","3,952","Industrial, Manufacturing",Commonwealth Edison Co,"329,299","3814 Farnam, LLC"
"608 S Olds Blvd, Fairless Hills, PA 19030","$33,751","2,109","School, Primary",PECO Energy Co,"281,259","Falls, Township of Inc"
"5597 Tulip St, Philadelphia, PA 19124","$45,208","2,825","Retail, Strip Mall",PECO Energy Co,"376,731","Flagship New Jersey Propco, LLC"
"420 E Terra Cotta Ave, Crystal Lake, IL 60014","$104,084","4,163","Industrial, Manufacturing",Commonwealth Edison Co,"346,947",Knaack Manufacturing
"350 S Joliet Rd, Bolingbrook, IL 60440","$104,461","4,178","Industrial, Manufacturing",Commonwealth Edison Co,"348,202",Alro Steel Corporation
"21450 SW Frontage Rd, Shorewood, IL 60404","$98,647","3,946","Industrial, Manufacturing",Commonwealth Edison Co,"328,822","Clarion Partners, LLC"
"25 Copeland Dr, Ayer, MA 01432","$216,217","2,162","Industrial, Manufacturing",National Grid - Massachusetts,"180,181","Cpf, Inc."
"1000 W Valley Rd, Wayne, PA 19087","$34,561","2,160",Office,PECO Energy Co,"288,011",US Post Office
"800 Chase Ave, Elk Grove Village, IL 60007","$96,822","3,873","Industrial, Manufacturing",Commonwealth Edison Co,"322,740",Alsco Building Products
